Node,x,y,Ux,Uy
34,0.333333333333333,-0.16,0.000156980704714809,2.44039427547261e-05
35,0.375,-0.16,0.000176673645693616,2.45376558043419e-05
36,0.416666666666667,-0.16,0.000196415065143443,2.46385708988919e-05
37,0.458333333333333,-0.16,0.000216192305690494,2.473368739802e-05
38,0.5,-0.16,0.000235994545758236,2.48353731500381e-05
39,0.541666666666667,-0.16,0.000255813381044569,2.49479146003709e-05
40,0.583333333333333,-0.16,0.000275642708106245,2.50715064762832e-05
41,0.625,-0.16,0.000295478327840394,2.52045653860906e-05
42,0.666666666666667,-0.16,0.000315317488806013,2.53449847831217e-05
43,0.708333333333333,-0.16,0.000335158473378515,2.54907495462646e-05
44,0.75,-0.16,0.000355000264478083,2.56401834753754e-05
45,0.791666666666667,-0.16,0.000374842297089885,2.57920010597854e-05
46,0.833333333333333,-0.16,0.000394684283838392,2.59452659597445e-05
47,0.875,-0.16,0.000414526099140702,2.60993142777184e-05
48,0.916666666666667,-0.16,0.000434367706997191,2.62536744162124e-05
49,0.958333333333333,-0.16,0.00045420912117314,2.64080031825735e-05
50,1,-0.16,0.00047405039606406,2.656205995859e-05
51,0,-0.12,0,0
52,0.0416666666666667,-0.12,1.80371119386611e-05,5.73435131889506e-06
53,0.0833333333333333,-0.12,3.73752469335451e-05,1.06482438484325e-05
54,0.125,-0.12,5.72314414971563e-05,1.40905457428151e-05
55,0.166666666666667,-0.12,7.71368920958425e-05,1.62083234368295e-05
56,0.208333333333333,-0.12,9.70097442876376e-05,1.74352957471019e-05
57,0.25,-0.12,0.000116852720762782,1.81174036711264e-05
58,0.291666666666667,-0.12,0.000136680128489311,1.84878458337275e-05
59,0.333333333333333,-0.12,0.000156502709606189,1.86932346569678e-05
60,0.375,-0.12,0.000176326282857611,1.88208168377427e-05
61,0.416666666666667,-0.12,0.00019615320822306,1.89194318697726e-05
62,0.458333333333333,-0.12,0.000215983913925327,1.90142394305071e-05
63,0.5,-0.12,0.000235817941651191,1.91165341820073e-05
64,0.541666666666667,-0.12,0.00025565454558341,1.92300014266603e-05
65,0.583333333333333,-0.12,0.000275492988749104,1.93545249340212e-05
66,0.625,-0.12,0.000295332661911478,1.94883828235486e-05
67,0.666666666666667,-0.12,0.000315173109910967,1.96294265973964e-05
68,0.708333333333333,-0.12,0.000335014016244544,1.97756483786054e-05
69,0.75,-0.12,0.000354855173414522,1.99254005296671e-05
70,0.791666666666667,-0.12,0.000374696452357112,2.0077432398159e-05
71,0.833333333333333,-0.12,0.000394537776233992,2.02308418399034e-05
72,0.875,-0.12,0.00041437909974924,2.03849959211293e-05
73,0.916666666666667,-0.12,0.000434220393611791,2.05394486905156e-05
74,0.958333333333333,-0.12,0.000454061634704571,2.0693868100543e-05
75,1,-0.12,0.000473902807590041,2.08479713062636e-05
76,0,-0.08,0,0
77,0.0416666666666667,-0.08,1.76340385991486e-05,3.57956795812653e-06
78,0.0833333333333333,-0.08,3.64421002452203e-05,6.7640901158728e-06
79,0.125,-0.08,5.60207435379531e-05,9.18531027714484e-06
80,0.166666666666667,-0.08,7.59529712948999e-05,1.08072118963779e-05
81,0.208333333333333,-0.08,9.59932699727922e-05,1.18016026503999e-05
82,0.25,-0.08,0.000116038834409025,1.23811627743196e-05
83,0.291666666666667,-0.08,0.000136052993293926,1.27137574801427e-05
84,0.333333333333333,-0.08,0.000156027362633344,1.29125818500054e-05
85,0.375,-0.08,0.000175964962446785,1.30473667259307e-05
86,0.416666666666667,-0.08,0.000195872649093183,1.31578685335349e-05
87,0.458333333333333,-0.08,0.000215757760562711,1.32647896661201e-05
88,0.5,-0.08,0.000235626742135348,1.3377505478324e-05
89,0.541666666666667,-0.08,0.000255484718461566,1.34991270609983e-05
90,0.583333333333333,-0.08,0.000275335504788591,1.36296223499067e-05
91,0.625,-0.08,0.000295181799486502,1.37676256792646e-05
92,0.666666666666667,-0.08,0.000315025427079868,1.39114111263895e-05
93,0.708333333333333,-0.08,0.000334867569030943,1.40593610209204e-05
94,0.75,-0.08,0.000354708956471661,1.42101476829012e-05
95,0.791666666666667,-0.08,0.000374550018559878,1.43627646375016e-05
96,0.833333333333333,-0.08,0.00039439098953226,1.45164878756791e-05
97,0.875,-0.08,0.000414231981218724,1.46708115732804e-05
98,0.916666666666667,-0.08,0.000434073028555539,1.48253798184985e-05
99,0.958333333333333,-0.08,0.000453914115394549,1.49799204355151e-05
100,1,-0.08,0.000473755187574273,1.51341713128439e-05
101,0,-0.04,0,0
102,0.0416666666666667,-0.04,1.74727830852817e-05,1.75687188953817e-06
103,0.0833333333333333,-0.04,3.60279523054508e-05,3.35702394965459e-06
104,0.125,-0.04,5.53966789650768e-05,4.64922471490597e-06
105,0.166666666666667,-0.04,7.52496576258784e-05,5.58969163316637e-06
106,0.208333333333333,-0.04,9.53234952591078e-05,6.22159097185487e-06
107,0.25,-0.04,0.000115458428433246,6.62925257736849e-06
108,0.291666666666667,-0.04,0.000135575545720538,6.89524515962597e-06
109,0.333333333333333,-0.04,0.000155643846358313,7.08153037542607e-06
110,0.375,-0.04,0.000175657399124795,7.228476021736e-06
111,0.416666666666667,-0.04,0.000195621807090265,7.35982960103249e-06
112,0.458333333333333,-0.04,0.000215546768108327,7.48821103678595e-06
113,0.5,-0.04,0.000235442304596682,7.61945108192693e-06
114,0.541666666666667,-0.04,0.000255317099663917,7.7555738573867e-06
115,0.583333333333333,-0.04,0.000275177976851004,7.896675672978e-06
116,0.625,-0.04,0.000295029948577605,8.04202413542938e-06
117,0.666666666666667,-0.04,0.000314876503736857,8.19065123541944e-06
118,0.708333333333333,-0.04,0.000334719956913954,8.34163941533917e-06
119,0.75,-0.04,0.00035456177290444,8.49423345416484e-06
120,0.791666666666667,-0.04,0.00037440283229494,8.6478612933301e-06
121,0.833333333333333,-0.04,0.00039424363147004,8.8021127019693e-06
122,0.875,-0.04,0.000414084423257457,8.95670236619087e-06
123,0.916666666666667,-0.04,0.000433925308762675,9.11142956362432e-06
124,0.958333333333333,-0.04,0.000453766290507581,9.2661359631123e-06
125,1,-0.04,0.000473607293434051,9.42065172937951e-06
126,0,0,0,0
127,0.0416666666666667,0,1.74268391578167e-05,6.12965260466724e-08
128,0.0833333333333333,0,3.58978499273702e-05,1.57586586953391e-07
129,0.125,0,5.51723663403175e-05,3.12393081903337e-07
130,0.166666666666667,0,7.49602659305373e-05,5.03033799631881e-07
131,0.208333333333333,0,9.50129332009044e-05,6.99648865646822e-07
132,0.25,0,0.000115160034313538,8.86372143161412e-07
133,0.291666666666667,0,0.000135305305290481,1.06052917873563e-06
134,0.333333333333333,0,0.000155404987489,1.22516947973339e-06
135,0.375,0,0.000175446399959203,1.3840951332545e-06
136,0.416666666666667,0,0.000195432674078756,1.54012894817072e-06
137,0.458333333333333,0,0.000215373415107812,1.69495399600484e-06
138,0.5,0,0.000235279603132257,1.84942552555699e-06
139,0.541666666666667,0,0.000255161164394292,2.0039076184604e-06
140,0.583333333333333,0,0.000275026078597188,2.15851299618946e-06
141,0.625,0,0.000294880287032472,2.31324494177923e-06
142,0.666666666666667,0,0.000314727960331274,2.46807059826016e-06
143,0.708333333333333,0,0.000334571880674045,2.62295369151834e-06
144,0.75,0,0.00035441381535002,2.77786609303725e-06
145,0.791666666666667,0,0.000374254829747654,2.9327896901907e-06
146,0.833333333333333,0,0.000394095526237132,3.08771455187381e-06
147,0.875,0,0.000413936213759859,3.24263603996152e-06
148,0.916666666666667,0,0.000433777019537289,3.39755133291947e-06
149,0.958333333333333,0,0.000453617953768971,3.55245328944342e-06
150,1,0,0.000473458932596973,3.70731489870725e-06
151,0,0.04,0,0
152,0.0416666666666667,0.04,1.74698915583504e-05,-1.64572754765177e-06
153,0.0833333333333333,0.04,3.59873629079408e-05,-3.03802004689468e-06
154,0.125,0.04,5.52732628041381e-05,-3.99914699017026e-06
155,0.166666666666667,0.04,7.50372628723556e-05,-4.55238481360624e-06
156,0.208333333333333,0.04,9.50487069502286e-05,-4.79903943497421e-06
157,0.25,0.04,0.000115152673585057,-4.84449265936257e-06
158,0.291666666666667,0.04,0.000135260256544392,-4.77047112231539e-06
159,0.333333333333333,0.04,0.000155329714662445,-4.63195191307419e-06
160,0.375,0.04,0.000175348091128971,-4.46277151574226e-06
161,0.416666666666667,0.04,0.000195317462442161,-4.28226294335064e-06
162,0.458333333333333,0.04,0.000215246212761268,-4.10054500619591e-06
163,0.5,0.04,0.000235144172032016,-3.9222243959033e-06
164,0.541666666666667,0.04,0.000255020277135446,-3.74882187467658e-06
165,0.583333333333333,0.04,0.00027488170555206,-3.58028374410591e-06
166,0.625,0.04,0.000294733778374669,-3.41587391068529e-06
167,0.666666666666667,0.04,0.000314580206732188,-3.25466484241439e-06
168,0.708333333333333,0.04,0.000334423445719732,-3.09578065179075e-06
169,0.75,0.04,0.000354265038761494,-2.93849540540461e-06
170,0.791666666666667,0.04,0.000374105904108416,-2.78225302204631e-06
171,0.833333333333333,0.04,0.000393946551684385,-2.62664934675363e-06
172,0.875,0.04,0.000413787235600166,-2.47139962676614e-06
173,0.916666666666667,0.04,0.000433628053779462,-2.3163031826743e-06
174,0.958333333333333,0.04,0.000453469005516783,-2.1612098251526e-06
175,1,0.04,0.000473310010881533,-2.00598951079922e-06
176,0,0.08,0,0
177,0.0416666666666667,0.08,1.76320200994662e-05,-3.50457330336555e-06
178,0.0833333333333333,0.08,3.63310341536531e-05,-6.41781026996961e-06
179,0.125,0.08,5.57150466348584e-05,-8.44528779845606e-06
180,0.166666666666667,0.08,7.54773812381487e-05,-9.67723223798894e-06
181,0.208333333333333,0.08,9.54182932145804e-05,-1.03182676056598e-05
182,0.25,0.08,0.000115421304668361,-1.05682177091712e-05
183,0.291666666666667,0.08,0.000135425619760104,-1.05823079355735e-05
184,0.333333333333333,0.08,0.000155404663790201,-1.04670773717289e-05
185,0.375,0.08,0.000175351065596861,-1.0289406760721e-05
186,0.416666666666667,0.08,0.000195266917079864,-1.00880183328704e-05
187,0.458333333333333,0.08,0.000215157997786425,-9.88332928093684e-06
188,0.5,0.08,0.000235030707748831,-9.68468537383716e-06
189,0.541666666666667,0.08,0.000254890674411352,-9.49522034799804e-06
190,0.583333333333333,0.08,0.000274742296287962,-9.31490890405972e-06
191,0.625,0.08,0.000294588752471171,-9.14236518221507e-06
