node,x,y,U1,U2
126,1.0,0.25,0.0004730757955504415,-1.9661372040964774e-06
127,0.0,0.3,4.6794216066558914e-32,-3.596516301698144e-33
128,0.05,0.3,2.145831356512319e-05,-5.325923549682567e-06
129,0.1,0.3,4.424628754455163e-05,-9.205286228208665e-06
130,0.15,0.3,6.77124093454483e-05,-1.1509891574136406e-05
131,0.2,0.3,9.147995433635508e-05,-1.2648769644882998e-05
132,0.25,0.3,0.00011535922405324375,-1.3051151056526871e-05
133,0.3,0.3,0.00013926179568827062,-1.3039721504768391e-05
134,0.35,0.3,0.0001631518660068989,-1.282241430903566e-05
135,0.4,0.3,0.0001870197312109279,-1.2518974679044944e-05
136,0.45,0.3,0.0002108669156753673,-1.219130096274625e-05
137,0.5,0.3,0.00023469857941127182,-1.186724175849392e-05
138,0.55,0.3,0.0002585199283816306,-1.1556456893662887e-05
139,0.6,0.3,0.00028233505126364436,-1.1259951974993949e-05
140,0.65,0.3,0.0003061467133559642,-1.097532603146147e-05
141,0.7,0.3,0.0003299567039928232,-1.069938131703306e-05
142,0.75,0.3,0.00035376598000046465,-1.0429243686589358e-05
143,0.8,0.3,0.00037757505210095945,-1.0162705237001701e-05
144,0.85,0.3,0.0004013841525982834,-9.898211014854252e-06
145,0.9,0.3,0.0004251933312508804,-9.634710675548346e-06
146,0.95,0.3,0.0004490026368003916,-9.371479962571317e-06
147,1.0,0.3,0.0004728119784667929,-9.107942260631346e-06
148,0.0,0.35,4.786103577793921e-32,-5.019128061401974e-33
149,0.05,0.35,2.2398568048338424e-05,-8.959210775423531e-06
150,0.1,0.35,4.5655900606243243e-05,-1.471477155253858e-05
151,0.15,0.35,6.90739862462902e-05,-1.794655520118875e-05
152,0.2,0.35,9.253302072937314e-05,-1.9535070345378995e-05
153,0.25,0.35,0.00011604474754886367,-2.014327157444797e-05
154,0.3,0.35,0.00013962448521987107,-2.0213913445057767e-05
155,0.35,0.35,0.00016327117416683684,-2.0018930269912647e-05
156,0.4,0.35,0.0001869733436338805,-1.9712190988933406e-05
157,0.45,0.35,0.0002107165118835936,-1.937286508559691e-05
158,0.5,0.35,0.00023448759687703322,-1.9036634180693435e-05
159,0.55,0.35,0.0002582763969536777,-1.871602851937128e-05
160,0.6,0.35,0.00028207573759392323,-1.8412574456728208e-05
161,0.65,0.35,0.00030588090233967267,-1.8123456796780844e-05
162,0.7,0.35,0.00032968907983391377,-1.7844821246517606e-05
163,0.75,0.35,0.0003534985966076828,-1.757318729428219e-05
164,0.8,0.35,0.00037730857540747885,-1.7305881216390224e-05
165,0.85,0.35,0.00040111859068432736,-1.7041022366398323e-05
166,0.9,0.35,0.0004249284381226188,-1.6777340517828932e-05
167,0.95,0.35,0.00044873812961546095,-1.6513957236783236e-05
168,1.0,0.35,0.0004725476546879603,-1.625020242233287e-05
169,0.0,0.4,3.493487299507003e-32,-1.445600898075175e-32
170,0.05,0.4,2.535477742089379e-05,-1.4063162222820749e-05
171,0.1,0.4,4.8746884120546675e-05,-2.099881572375698e-05
172,0.15,0.4,7.136094457708687e-05,-2.4659724727917942e-05
173,0.2,0.4,9.39491173172218e-05,-2.6443633056240896e-05
174,0.25,0.4,0.00011678211772642604,-2.7155282274439354e-05
175,0.3,0.4,0.00013990398339001748,-2.7285181157147582e-05
176,0.35,0.4,0.00016327074543667108,-2.7124583174860717e-05
177,0.4,0.4,0.00018681635187248216,-2.6837238000681064e-05
178,0.45,0.4,0.00021048035746138992,-2.6508293511729062e-05
179,0.5,0.4,0.00023421682275745901,-2.61772218996724e-05
180,0.55,0.4,0.00025799438566504607,-2.5858905069244897e-05
181,0.6,0.4,0.00028179336346410584,-2.555626460414829e-05
182,0.65,0.4,0.0003056022519823356,-2.5267270144292302e-05
183,0.7,0.4,0.00032941491806814217,-2.498848160435751e-05
184,0.75,0.4,0.0003532282993681122,-2.471661902003539e-05
185,0.8,0.4,0.0003770411099779604,-2.4449093065974983e-05
186,0.85,0.4,0.0004008529512133449,-2.4184049460867555e-05
187,0.9,0.4,0.000424663801708228,-2.3920220376001147e-05
188,0.95,0.4,0.0004484739023831083,-2.365672749095725e-05
189,1.0,0.4,0.0004722835296901894,-2.3392914840440194e-05
