Node,x,y,Ux,Uy
1,0,0,0,0
2,0.0416666666666667,0,2.37289710342711e-05,1.39625776157563e-05
3,0.0833333333333333,0,4.34151525247751e-05,2.07968641810542e-05
4,0.125,0,6.21513282033751e-05,2.48010663016823e-05
5,0.166666666666667,0,8.07839009967772e-05,2.71736387844237e-05
6,0.208333333333333,0,9.95872284695508e-05,2.85554162973675e-05
7,0.25,0,0.00011862764297566,2.93432202729475e-05
8,0.291666666666667,0,0.000137891209984287,2.97873329628278e-05
9,0.333333333333333,0,0.000157336903969683,3.00431170859222e-05
10,0.375,0,0.000176919638725805,3.02040118921359e-05
11,0.416666666666667,0,0.000196599644060258,3.03237379904796e-05
12,0.458333333333333,0,0.000216345399525156,3.04312752923007e-05
13,0.5,0,0.000236133603727473,3.05407874964288e-05
14,0.541666666666667,0,0.000255947936323904,3.06580142850332e-05
15,0.583333333333333,0,0.000275777495444403,3.07842420647593e-05
16,0.625,0,0.000295615325785496,3.0918661904585e-05
17,0.666666666666667,0,0.00031545720116186,3.10596900741547e-05
18,0.708333333333333,0,0.000335300695290002,3.12056479550359e-05
19,0.75,0,0.000355144513737237,3.13550652263829e-05
20,0.791666666666667,0,0.000374988037598001,3.15067749608089e-05
21,0.833333333333333,0,0.000394831027247411,3.1659903722785e-05
22,0.875,0,0.00041467344180097,3.18138169858392e-05
23,0.916666666666667,0,0.000434515340789446,3.19680550962845e-05
24,0.958333333333333,0,0.000454356845964439,3.21222862150549e-05
25,1,0,0.000474198150553368,3.22763170139605e-05
26,0,0.04,0,0
27,0.0416666666666667,0.04,1.91773111312895e-05,8.67490689968733e-06
28,0.0833333333333333,0.04,3.94581706125605e-05,1.53877998925309e-05
29,0.125,0.04,5.92606311482392e-05,1.93979002444571e-05
30,0.166666666666667,0.04,7.8807356202075e-05,2.17326074881943e-05
31,0.208333333333333,0.04,9.82839435166086e-05,2.30578982146516e-05
32,0.25,0.04,0.000117785304464586,2.37893250700292e-05
33,0.291666666666667,0.04,0.000137348718894219,2.41854499583662e-05
34,0.333333333333333,0.04,0.000156980704714787,2.4403942754693e-05
35,0.375,0.04,0.000176673645693592,2.45376558043022e-05
36,0.416666666666667,0.04,0.000196415065143417,2.46385708988449e-05
37,0.458333333333333,0.04,0.000216192305690467,2.47336873979655e-05
38,0.5,0.04,0.000235994545758207,2.48353731499757e-05
39,0.541666666666667,0.04,0.000255813381044539,2.49479146003003e-05
40,0.583333333333333,0.04,0.000275642708106214,2.5071506476204e-05
41,0.625,0.04,0.000295478327840362,2.52045653860029e-05
42,0.666666666666667,0.04,0.00031531748880598,2.53449847830253e-05
43,0.708333333333333,0.04,0.000335158473378482,2.54907495461596e-05
44,0.75,0.04,0.00035500026447805,2.56401834752616e-05
45,0.791666666666667,0.04,0.000374842297089851,2.57920010596629e-05
46,0.833333333333333,0.04,0.000394684283838357,2.59452659596133e-05
47,0.875,0.04,0.000414526099140667,2.60993142775787e-05
48,0.916666666666667,0.04,0.000434367706997157,2.62536744160642e-05
49,0.958333333333333,0.04,0.000454209121173106,2.64080031824168e-05
50,1,0.04,0.000474050396064025,2.6562059958425e-05
51,0,0.08,0,0
52,0.0416666666666667,0.08,1.8037111938659e-05,5.73435131889359e-06
53,0.0833333333333333,0.08,3.73752469335406e-05,1.06482438484286e-05
54,0.125,0.08,5.72314414971495e-05,1.4090545742808e-05
55,0.166666666666667,0.08,7.71368920958336e-05,1.62083234368185e-05
56,0.208333333333333,0.08,9.70097442876266e-05,1.74352957470864e-05
57,0.25,0.08,0.000116852720762769,1.81174036711058e-05
58,0.291666666666667,0.08,0.000136680128489296,1.84878458337012e-05
59,0.333333333333333,0.08,0.000156502709606172,1.86932346569352e-05
60,0.375,0.08,0.000176326282857593,1.88208168377035e-05
61,0.416666666666667,0.08,0.000196153208223041,1.89194318697261e-05
62,0.458333333333333,0.08,0.000215983913925307,1.9014239430453e-05
63,0.5,0.08,0.000235817941651169,1.91165341819453e-05
64,0.541666666666667,0.08,0.000255654545583388,1.92300014265899e-05
65,0.583333333333333,0.08,0.00027549298874908,1.93545249339424e-05
66,0.625,0.08,0.000295332661911453,1.94883828234612e-05
67,0.666666666666667,0.08,0.000315173109910942,1.96294265973002e-05
68,0.708333333333333,0.08,0.000335014016244518,1.97756483785006e-05
69,0.75,0.08,0.000354855173414496,1.99254005295535e-05
70,0.791666666666667,0.08,0.000374696452357086,2.00774323980367e-05
71,0.833333333333333,0.08,0.000394537776233965,2.02308418397724e-05
72,0.875,0.08,0.000414379099749213,2.03849959209897e-05
73,0.916666666666667,0.08,0.000434220393611764,2.05394486903673e-05
74,0.958333333333333,0.08,0.000454061634704544,2.06938681003864e-05
75,1,0.08,0.000473902807590014,2.08479713060988e-05
76,0,0.12,0,0
77,0.0416666666666667,0.12,1.76340385991471e-05,3.5795679581253e-06
78,0.0833333333333333,0.12,3.64421002452173e-05,6.76409011586928e-06
79,0.125,0.12,5.60207435379486e-05,9.18531027713818e-06
80,0.166666666666667,0.12,7.59529712948939e-05,1.08072118963674e-05
