"x","sigma_x_uniform","sigma_x_fixed","sigma_y","tau_xy"
0,100,106.987847222222,-3.14453125,7.94920634920635
0.00416666666666667,100,106.654534808216,-2.99454066369697,7.74214019516008
0.00833333333333333,100,106.32529739128,-2.84638382607584,7.53613175177175
0.0125,100,106.003124697131,-2.70140611370913,7.3320127359159
0.0166666666666667,100,105.690094416313,-2.56054248734087,7.13041787772237
0.0208333333333333,100,105.387603579346,-2.42442161070579,6.93182837642558
0.025,100,105.09654257978,-2.29344416090112,6.73660570533935
0.0291666666666667,100,104.817425971337,-2.16784168710155,6.54501789381273
0.0333333333333333,100,104.550490714504,-2.04772082152658,6.35725995148645
0.0375,100,104.295769931861,-1.93309646933759,6.1734697367706
0.0416666666666667,100,104.053148250108,-1.82391671254873,5.99374028619972
0.0458333333333333,100,103.822403307688,-1.72008148845948,5.81812939759809
0.05,100,103.603236873953,-1.62145659327905,5.64666708470287
0.0541666666666667,100,103.395298170468,-1.52788417671071,5.47936138370495
0.0583333333333333,100,103.198201340045,-1.43919060302015,5.31620288491869
0.0625,100,103.011538523354,-1.35519233550925,5.15716827905104
0.0666666666666667,100,102.834889637502,-1.27570033687594,5.00222314224148
0.0708333333333333,100,102.667829676442,-1.20052335439874,4.85132413319643
0.075,100,102.509934147083,-1.12947036618744,4.70442073620801
0.0791666666666667,100,102.360783100614,-1.06235239527628,4.56145665315831
0.0833333333333333,100,102.21996410299,-0.998983846345606,4.42237092383031
0.0875,100,102.087074402202,-0.939183480991033,4.28709883545315
0.0916666666666667,100,101.961722485413,-0.882775118436055,4.15557266821109
0.0958333333333333,100,101.843529170955,-0.829588126929699,4.02772231250851
0.1,100,101.732128344283,-0.779457754927212,3.90347578537735
0.104166666666667,100,101.627167420267,-0.732225339120137,3.78275966696769
0.108333333333333,100,101.528307594256,-0.68773841741538,3.66549947313286
0.1125,100,101.435223929503,-0.645850768276242,3.55161997635924
0.116666666666667,100,101.347605317435,-0.606422392845882,3.44104548442994
0.120833333333333,100,101.265154338974,-0.569319452538097,3.33370008404034
0.125,100,101.187587048836,-0.534414171976277,3.22950785494079
0.129166666666667,100,101.114632700105,-0.501584715047344,3.12839305894172
0.133333333333333,100,101.046033422743,-0.470715040234198,3.03028030718275
0.1375,100,100.981543867034,-0.441694740165314,2.935094708366
0.141666666666667,100,100.920930820835,-0.414418869375844,2.84276200012662
0.145833333333333,100,100.863972807864,-0.388787763538829,2.75320866531859
0.15,100,100.810459672989,-0.364706852845135,2.66636203469672
0.154166666666667,100,100.760192159439,-0.342086471747408,2.58215037725132
0.158333333333333,100,100.712981482019,-0.320841666908383,2.50050297928248
