"x","y","sigma_x","sigma_y","tau_xy","sigma_x_uniform","sigma_y_uniform","tau_xy_uniform","eps_x_uniform","eps_y_uniform","gamma_xy_uniform","u_uniform","v_uniform","eps_x","eps_y","gamma_xy","u_fixed","v_fixed_raw","v_fixed"
0,-0.2,46540228.1746032,24056897.3214286,0,1e+08,0,0,0.000476190476190476,-0.000142857142857143,0,0,2.85714285714286e-05,0.000187253137991308,4.80706136621315e-05,0,0,1.92282454648526e-07,0
0,-0.196,46678113.2537571,23994849.0358093,745485.062055233,1e+08,0,0,0.000476190476190476,-0.000142857142857143,0,0,2.8e-05,0.000187998374014354,4.75781669508677e-05,9.22981505401717e-06,0,3.82595122451997e-07,0
0,-0.192,47088315.4912658,23810258.0289304,1481289.49659579,1e+08,0,0,0.000476190476190476,-0.000142857142857143,0,0,2.74285714285714e-05,0.000190215419440889,4.61131589597652e-05,1.83397747197574e-05,0,5.67047758291058e-07,0
0,-0.188,47760621.6264245,23507720.268109,2198074.30207142,1e+08,0,0,0.000476190476190476,-0.000142857142857143,0,0,2.68571428571429e-05,0.000193849074028533,4.37120656199123e-05,2.72142532637414e-05,0,7.41896020770707e-07,0
0,-0.184,48678488.0670693,23094680.3698188,2887167.75754904,1e+08,0,0,0.000476190476190476,-0.000142857142857143,0,0,2.62857142857143e-05,0.000198809923600589,4.04339711890381e-05,3.57458865220357e-05,0,9.0363190552686e-07,0
0,-0.18,49819733.5395301,22581119.9072114,3540859.97108421,1e+08,0,0,0.000476190476190476,-0.000142857142857143,0,0,2.57142857142857e-05,0.000204978083654127,3.63580945016781e-05,4.3839218689614e-05,0,1.04906428353357e-06,0
0,-0.176,51157459.9711381,21979143.0129878,4152652.81301859,1e+08,0,0,0.000476190476190476,-0.000142857142857143,0,0,2.51428571428571e-05,0.000212208176510675,3.15805001030781e-05,5.14137967326112e-05,0,1.17538628394588e-06,0
0,-0.172,52661155.9629139,21302479.8166887,4717454.05108692,1e+08,0,0,0.000476190476190476,-0.000142857142857143,0,0,2.45714285714286e-05,0.000220335295323368,2.62101572753074e-05,5.8406573965838e-05,0,1.28022691304711e-06,0
0,-0.168,54297928.5162209,20565932.1677006,5231707.40044087,1e+08,0,0,0.000476190476190476,-0.000142857142857143,0,0,2.4e-05,0.000229181661266242,2.03645410134966e-05,6.47735201959346e-05,0,1.3616850771011e-06,0
0,-0.164,56033802.900649,19784788.6947079,5693453.50831508,1e+08,0,0,0.000476190476190476,-0.000142857142857143,0,0,2.34285714285714e-05,0.000238563649010651,1.41649896405392e-05,7.04903767696153e-05,0,1.41834503566326e-06,0
0,-0.16,57835027.9835555,18974237.4074,6102320.42792505,1e+08,0,0,0.000476190476190476,-0.000142857142857143,0,0,2.28571428571429e-05,0.000248298841720645,7.73204291587332e-06,7.5552538631453e-05,0,1.44927320732675e-06,0
0,-0.156,59669325.0965017,18148803.7065742,6459445.70559049,1e+08,0,0,0.000476190476190476,-0.000142857142857143,0,0,2.22857142857143e-05,0.000258212780878712,1.18098179820806e-06,7.99740896882632e-05,0,1.45399713451958e-06,0
0,-0.152,61507022.5165231,17321839.8675646,6767335.61481378,1e+08,0,0,0.000476190476190476,-0.000142857142857143,0,0,2.17142857142857e-05,0.000268145097886922,-5.38222327329664e-06,8.37860599929325e-05,0,1.4324682414264e-06,0
0,-0.148,63322024.6366254,16505088.9135186,7029670.13744322,1e+08,0,0,0.000476190476190476,-0.000142857142857143,0,0,2.11428571428571e-05,0.000277954752202714,-1.18643737022336e-05,8.70340112254875e-05,0,1.38501074661746e-06,0
0,-0.144,65092574.4714117,15708341.4878647,7251064.85234487,1e+08,0,0,0.000476190476190476,-0.000142857142857143,0,0,2.05714285714286e-05,0.000287524152500249,-1.81877659693277e-05,8.97750886480793e-05,0,1.31225968274015e-06,0
0,-0.14,66801779.732154,14939199.1205307,7436802.81341883,1e+08,0,0,0.000476190476190476,-0.000142857142857143,0,0,2e-05,0.000296761999980927,-2.42920704719785e-05,9.20747014994712e-05,0,1.21509140085224e-06,0
0,-0.136,68437885.6464508,14202951.4590971,7592550.68583277,1e+08,0,0,0.000476190476190476,-0.000142857142857143,0,0,1.94285714285714e-05,0.000305604762898675,-3.01353058801815e-05,9.40030084912628e-05,0,1.09455017733151e-06,0
0,-0.132,69994291.2589146,13502568.9334884,7724073.80887745,1e+08,0,0,0.000476190476190476,-0.000142857142857143,0,0,1.88571428571429e-05,0.000314016764661277,-3.56938973532665e-05,9.56313900146732e-05,0,9.51774587918445e-07,0
0,-0.128,71469319.3742944,12838806.2815675,7836964.45769232,1e+08,0,0,0.000476190476190476,-0.000142857142857143,0,0,1.82857142857143e-05,0.000321988940427734,-4.09618549081941e-05,9.70290837619049e-05,0,7.87927168285668e-07,0
0,-0.124,72865762.8549281,12210406.7152823,7936396.42097527,1e+08,0,0,0.000476190476190476,-0.000142857142857143,0,0,1.77142857142857e-05,0.000329536384954016,-4.59491530533147e-05,9.82601461644557e-05,0,6.04130556072409e-07,0
